evaluable_ca,frame_evaluable,frame_has_inversion,frame_index,inverted_ca,path,side,system
23,True,True,17,10,bba_frozen_seed211_p0,relaxed,bba
24,True,True,18,8,bba_frozen_seed211_p0,relaxed,bba
26,True,True,19,9,bba_frozen_seed211_p0,relaxed,bba
26,True,True,20,8,bba_frozen_seed211_p0,relaxed,bba
26,True,True,21,5,bba_frozen_seed211_p0,relaxed,bba
26,True,True,22,9,bba_frozen_seed211_p0,relaxed,bba
26,True,True,23,4,bba_frozen_seed211_p0,relaxed,bba
26,True,True,24,6,bba_frozen_seed211_p0,relaxed,bba
26,True,True,25,7,bba_frozen_seed211_p0,relaxed,bba
26,True,True,26,5,bba_frozen_seed211_p0,relaxed,bba
23,True,True,27,7,bba_frozen_seed211_p0,relaxed,bba
26,True,True,28,12,bba_frozen_seed211_p0,relaxed,bba
26,True,True,29,8,bba_frozen_seed211_p0,relaxed,bba
26,True,True,30,7,bba_frozen_seed211_p0,relaxed,bba
26,True,True,31,9,bba_frozen_seed211_p0,relaxed,bba
26,True,True,32,9,bba_frozen_seed211_p0,relaxed,bba
26,True,False,0,0,bba_duet_seed211_p1,raw,bba
26,True,False,1,0,bba_duet_seed211_p1,raw,bba
26,True,False,2,0,bba_duet_seed211_p1,raw,bba
26,True,False,3,0,bba_duet_seed211_p1,raw,bba
26,True,False,4,0,bba_duet_seed211_p1,raw,bba
26,True,False,5,0,bba_duet_seed211_p1,raw,bba
26,True,False,6,0,bba_duet_seed211_p1,raw,bba
26,True,False,7,0,bba_duet_seed211_p1,raw,bba
26,True,False,8,0,bba_duet_seed211_p1,raw,bba
26,True,False,9,0,bba_duet_seed211_p1,raw,bba
26,True,False,10,0,bba_duet_seed211_p1,raw,bba
26,True,False,11,0,bba_duet_seed211_p1,raw,bba
26,True,False,12,0,bba_duet_seed211_p1,raw,bba
26,True,False,13,0,bba_duet_seed211_p1,raw,bba
26,True,False,14,0,bba_duet_seed211_p1,raw,bba
26,True,False,15,0,bba_duet_seed211_p1,raw,bba
26,True,False,16,0,bba_duet_seed211_p1,raw,bba
26,True,False,17,0,bba_duet_seed211_p1,raw,bba
26,True,False,18,0,bba_duet_seed211_p1,raw,bba
26,True,False,19,0,bba_duet_seed211_p1,raw,bba
26,True,False,20,0,bba_duet_seed211_p1,raw,bba
26,True,False,21,0,bba_duet_seed211_p1,raw,bba
26,True,False,22,0,bba_duet_seed211_p1,raw,bba
26,True,False,23,0,bba_duet_seed211_p1,raw,bba
26,True,False,24,0,bba_duet_seed211_p1,raw,bba
26,True,False,25,0,bba_duet_seed211_p1,raw,bba
